Facility Id,EPA Website,FRS Id,Company ,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Industry Type (sectors),Total reported direct emissions,CO2 emissions (mt) ,Biogenic CO2 emissions (metric tons),Stationary Combustion,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions 
1004914,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1004914&ds=E&et=&popup=true,110000425059,3M,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.879677,-94.359598,Manufacturing," 37,329 "," 37,291 ", -   ," 37,329 ", 18 , 21 
1004804,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1004804&ds=E&et=&popup=true,110000443805,3M,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON COUNTY,37.834476,-94.330625,Manufacturing," 34,976 "," 34,940 ", -   ," 34,976 ", 17 , 20 
1005214,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1005214&ds=E&et=&popup=true,110001367191,600 Land ,DECATUR HILLS INCORPORATED,GREENSBURG,IN,47240,2090 SOUTH CR 280 EAST,DECATUR COUNTY,39.3486,-85.61857,Municipal Landfill," 29,002 ", 8 , 525 , 11 ," 28,992 ", 2 
1005697,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1005697&ds=E&et=&popup=true,110007564607,600 Land ,RANDOLPH FARMS INC,MODOC,IN,47358,7256 W CR 600 S,RANDOLPH COUNTY,40.081883,-85.114926,Municipal Landfill," 26,125 ", 57 ," 4,352 ", 79 ," 26,053 ", 16 
1002683,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002683&ds=E&et=&popup=true,110009326336,600 Land ,SOUTH SIDE LANDFILL INC,INDIANAPOLIS,IN,46221,2561 KENTUCKY AVENUE,MARION COUNTY,39.716111,-86.205,Municipal Landfill," 102,670 ", 130 , 226 , 131 ," 102,539 ", 1 
1007712,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1007712&ds=E&et=&popup=true,110013866236,A Timoshenko (75%); Oklahoma Transportation Authority (7%); City Of Broken Arrow (18%),BROKEN ARROW LANDFLL,BROKEN ARROW,OK,74014,21500 E 51ST ST,WAGONER COUNTY,36.0851,-95.7328,Municipal Landfill," 4,743 ",, -   ,," 4,743 ",
1006009,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006009&ds=E&et=&popup=true,110071160122,Abb Ltd ,"Hitachi Energy USA, Inc.",Mt. Pleasant,PA,15666,100 Distribution Circle,WESTMORELAND COUNTY,40.17811,-79.57707,Underground Coal Mines," 1,596 ",, -   ,,,
1002983,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002983&ds=E&et=&popup=true,110018042562,Abbott Laboratories ,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.30227,-87.89065,Manufacturing," 57,247 "," 57,188 ", -   ," 57,247 ", 27 , 32 
1000378,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000378&ds=E&et=&popup=true,110063125577,Abbott Laboratories ,Abbott Laboratories,Casa Grande,AZ,85193,1250 West Maricopa Highway,PINAL COUNTY,32.896,-111.7848,Food Processing," 25,403 "," 25,377 ", -   ," 25,403 ", 12 , 14 
1012993,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1012993&ds=E&et=&popup=true,110013815005,Abbott Laboratories ,Abbott Nutrition,Columbus,OH,43215,585 Cleveland Ave,FRANKLIN COUNTY,39.97553,-82.98999,Food Processing," 26,943 "," 26,915 ", -   ," 26,943 ", 13 , 15 
1003205,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1003205&ds=E&et=&popup=true,110056588161,Abbott Laboratories ,Abbott Nutrition - A Division of Abbott Laboratories,ALTAVISTA,VA,24517,1518 MAIN STREET,CAMPBELL COUNTY,37.13375,-79.26404,Food Processing," 28,847 "," 28,818 ", -   ," 28,847 ", 14 , 16 
1007514,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1007514&ds=E&et=&popup=true,110007806188,Abbvie ,ABBVIE LTD.,BARCELONETA,PR,00617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.433237,-66.570509,Chemicals," 63,110 "," 63,031 ", -   ," 63,110 ", 33 , 46 
1002975,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002975&ds=E&et=&popup=true,110071161195,Abbvie ,North Chicago Facility,NORTH CHICAGO,IL,60064,1401 SHERIDAN RD,LAKE COUNTY,42.33405,-87.83849,Chemicals," 43,197 "," 43,153 ", -   ," 43,197 ", 20 , 24 
1012891,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1012891&ds=E&et=&popup=true,110070209450,Abilene Environmental Landfill ,Abilene Environmental Landfill,Abilene,TX,79601,1984 FM 3034,JONES COUNTY,32.523921,-99.750711,Municipal Landfill," 34,690 ",, -   ,," 34,690 ",
1012089,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1012089&ds=E&et=&popup=true,,Aemetis ,Aemetis Advanced Fuels Keys Inc,Ceres,CA,95307,4209 Jessup Road,,37.553007,-120.916475,Ethanol," 69,710 "," 69,626 "," 212,451 "," 69,710 ", 37 , 48 
1006529,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006529&ds=E&et=&popup=true,110013921435,Acadia Parish Police Jury ,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,ACADIA PARISH,30.256038,-92.532637,Municipal Landfill," 46,563 ",, -   ,," 46,563 ",
1009622,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1009622&ds=E&et=&popup=true,110000437091,Accuride ,Gunite Corporation,Rockford,IL,61104,302 Peoples Ave,WINNEBAGO COUNTY,42.242283,-89.092825,Metals," 42,193 "," 41,965 ", -   ," 42,193 ", 84 , 144 
1007262,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1007262&ds=E&et=&popup=true,110070090716,Pelican Renewables ,"Pelican Renewables, LLC",STOCKTON,CA,95206,3028 NAVY DRIVE,SAN JOAQUIN COUNTY,37.9413,-121.3385,Ethanol, 0 , 0 , -   , 0 ,,
1006942,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006942&ds=E&et=&popup=true,110024579204,Front Range Energy ,Front Range Energy LLC,WINDSOR,CO,80550,31375 GREAT WESTERN DRIVE,WELD COUNTY,40.45707,-104.859464,Ethanol," 41,312 "," 41,269 "," 138,000 "," 41,312 ", 20 , 23 
1006055,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006055&ds=E&et=&popup=true,110022421912,Sterling Ethanol ,Sterling Ethanol LLC,STERLING,CO,80751,450 ANGUS AVENUE,LOGAN COUNTY,40.6375,-103.190556,Ethanol," 56,371 "," 56,313 "," 180,000 "," 56,371 ", 27 , 32 
1003752,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1003752&ds=E&et=&popup=true,110040089604,Ada Carbon Solutions ,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,RED RIVER PARISH,32.005411,-93.387823,Chemicals," 321,030 "," 321,027 ", -   ," 321,030 ", 1 , 1 
1002731,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002731&ds=E&et=&popup=true,110071161104,Ada Cogeneration ,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,42.929287,-85.431127,Natural Gas Power Generation," 126,690 "," 126,559 ", -   ," 126,690 ", 60 , 71 
1002083,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002083&ds=E&et=&popup=true,110031262498,Yuma Ethanol ,Yuma Ethanol LLC,YUMA,CO,80759,38480 COUNTY ROAD H,YUMA COUNTY,40.13,-102.68,Ethanol," 55,500 "," 55,443 "," 180,000 "," 55,500 ", 26 , 31 
1014236,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1014236&ds=E&et=&popup=true,110000350370,ADM,ADM Southport,Southport,NC,28461,1730 E Moore Street SE,BRUNSWICK COUNTY,33.94516,-78.00117,Chemicals," 89,098 "," 89,005 ", -   ," 89,098 ", 42 , 51 
1005661,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1005661&ds=E&et=&popup=true,110050297936,ADM,Archer Daniels Midland Co.,DECATUR,IL,62521,4666 FARIES PARKWAY,Macon,39.8675,-88.885,Food Processing," 4,135,003 "," 4,100,895 "," 14,746 "," 4,130,424 "," 15,410 "," 18,698 "
1002154,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002154&ds=E&et=&popup=true,110013325507,ADM,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,BLUE EARTH COUNTY,44.186805,-93.995493,Food Processing," 106,717 "," 106,155 ", -   ," 106,717 ", 209 , 353 
1010610,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1010610&ds=E&et=&popup=true,110033021888,ADM,ADM Deerfield,Deerfield,MO,64741,17700 South Highway T,VERNON COUNTY,37.80725,-94.585301,Food Processing," 42,747 "," 42,703 ", -   ," 42,747 ", 20 , 24 
1011855,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1011855&ds=E&et=&popup=true,110002319982,ADM,ADM Fostoria,Fostoria,OH,44830,608 FINDLAY ROAD,HANCOCK COUNTY,41.1494,-83.43295,Food Processing," 27,103 "," 27,075 ", -   ," 27,103 ", 13 , 15 
1000376,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000376&ds=E&et=&popup=true,110040894761,ADM,ADM QUINCY,QUINCY,IL,62305,2100 GARDNER EXPRESSWAY,ADAMS COUNTY,39.903884,-91.410552,Food Processing," 96,736 "," 96,636 ", -   ," 96,736 ", 46 , 54 
1000034,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000034&ds=E&et=&popup=true,110067425799,ADM,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,50313,1935 EAST EUCLID AVENUE,POLK COUNTY,41.626329,-93.583205,Food Processing," 151,812 "," 150,759 ", -   ," 151,812 ", 387 , 666 
1011961,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1011961&ds=E&et=&popup=true,110012384561,ADM,ADM Valdosta,Valdosta,GA,31601,1841 Clay Road,LOWNDES COUNTY,30.8325,-83.248056,Food Processing," 63,148 "," 63,079 ", -   ," 63,148 ", 31 , 39 
1003215,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1003215&ds=E&et=&popup=true,110000592047,ADM,ARCHER DANIELS MIDLAND,FRANKFORT,IN,46041,2191 W CR 0 NS,CLINTON COUNTY,40.2853,-86.5479,Food Processing," 48,791 "," 48,741 ", -   ," 48,791 ", 23 , 27 
1005935,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1005935&ds=E&et=&popup=true,110002382680,ADM,ARCHER DANIELS MIDLAND COMPANY,LINCOLN,NE,68507,7800 THAYER STREET,LANCASTER COUNTY,40.86667,-96.619116,Food Processing," 153,580 "," 152,500 ", -   ," 153,580 ", 396 , 683 
1005940,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1005940&ds=E&et=&popup=true,110000595115,ADM,ARCHER DANIELS MIDLAND PROCESSING,VELVA,ND,58790,1388 HIGHWAY 97,MCHENRY COUNTY,48.062103,-100.924722,Food Processing," 41,738 "," 41,695 ", -   ," 41,738 ", 20 , 24 
1003476,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1003476&ds=E&et=&popup=true,110017981656,ADM,Archer Daniels Midland,Mexico,MO,65265,400 E. Holt St.,AUDRAIN COUNTY,39.169552,-91.879288,Food Processing," 30,509 "," 30,478 ", -   ," 30,509 ", 14 , 17 
1001945,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001945&ds=E&et=&popup=true,110000427128,ADM,ARCHER DANIELS MIDLAND,MARSHALL,MN,56258,400 WEST ERIE ROAD,LYON COUNTY,44.474074,-95.783525,Food Processing," 170,379 "," 169,733 "," 2,061 "," 169,919 ", 544 , 103 
1006047,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006047&ds=E&et=&popup=true,110010507503,ADM,ADM CORN PROCESSING,CEDAR RAPIDS,IA,52404,1350 WACONIA AVENUE SOUTHWEST,LINN COUNTY,41.9192,-91.6862,Food Processing," 2,839,788 "," 2,821,684 "," 5,501 "," 2,838,454 "," 7,506 "," 10,598 "
1006208,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006208&ds=E&et=&popup=true,110000415630,ADM,ADM CORN PROCESSING,CLINTON,IA,52732,1251 BEAVER CHANNEL PARKWAY,CLINTON COUNTY,41.8196,-90.2122,Industrial Landfill," 2,160,740 "," 2,143,653 "," 111,716 "," 2,160,560 "," 6,432 "," 10,656 "
1002916,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002916&ds=E&et=&popup=true,110070681603,ADM,ARCHER DANIEL MIDLAND COMPANY,COLUMBUS,NE,68601,3000 E 8TH STREET,PLATTE COUNTY,41.42139,-97.288612,Food Processing," 1,163,383 "," 1,150,058 "," 14,542 "," 1,158,524 "," 7,966 "," 5,359 "
1013749,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1013749&ds=E&et=&popup=true,110000428136,ADM,"Archer Daniels Midland Co. - Enderlin, ND",Enderlin,ND,58027,5525 136th Avenue SE,RANSOM COUNTY,46.6137,-97.5769,Food Processing," 28,925 "," 27,918 "," 39,561 "," 28,591 ", 562 , 446 
1006080,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1006080&ds=E&et=&popup=true,110027360399,ADM,ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,TN,37410,103 W 45TH ST,HAMILTON COUNTY,34.997921,-85.318581,Pulp and Paper - Other," 21,700 "," 21,678 ", -   ," 21,700 ", 10 , 12 
1000089,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000089&ds=E&et=&popup=true,110038495768,Advansix ,AdvanSix Resins & Chemicals LLC,PHILADELPHIA,PA,19137,2501 MARGARET STREET,Philadelphia,40.0067,-75.0686,Chemicals," 157,464 "," 157,302 ", -   ," 157,464 ", 74 , 88 
1000630,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000630&ds=E&et=&popup=true,110070737782,Advansix ,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,HOPEWELL CITY,37.1815,-77.1621,Ammonia," 1,163,958 "," 1,163,400 ", -   ," 540,243 ", 254 , 303 
1000627,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000627&ds=E&et=&popup=true,110000342460,Advansix ,ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,VA,23836,4101 BERMUDA HUNDRED RD,CHESTERFIELD COUNTY,37.336111,-77.2825,Manufacturing," 60,014 "," 59,949 ", -   ," 60,014 ", 29 , 36 
1013620,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1013620&ds=E&et=&popup=true,110070122610,Aeif Birdsboro (33.33%); Sojitz Birdsboro (33.33%); Tokyo Gas America Ltd (33.33%),Birdsboro Power Project,Birdsboro,PA,19508,1 Armorcast Rd,BERKS COUNTY,40.26668,-75.7964,Natural Gas Power Generation," 1,046,195 "," 1,045,133 ", -   ,, 485 , 578 
1014275,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1014275&ds=E&et=&popup=true,110070553178,Aeif Hill Top (41.87%); Ht Power Associates I (41.87%); Hill Top Mm Rh (16.26%),Hill Top Energy Center LLC,Carmichaels,PA,15320,278 Thomas Rd,GREENE COUNTY,39.893509,-79.938648,Natural Gas Power Generation," 1,484,462 "," 1,482,955 ", -   ," 2,210 ", 688 , 820 
1002627,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1002627&ds=E&et=&popup=true,110027236621,Absolute Energy ,Absolute Energy,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.49951,-92.91709,Ethanol," 151,052 "," 150,886 "," 375,049 "," 151,042 ", 81 , 85 
1001609,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001609&ds=E&et=&popup=true,110071161627,AEP,Arsenal Hill Power Plant,SHREVEPORT,LA,71101,520 NORTH ALLEN,Caddo,32.5181,-93.7611,Natural Gas Power Generation," 1,229,339 "," 1,228,091 ", -   ,, 570 , 679 
1001587,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001587&ds=E&et=&popup=true,110071161618,AEP,Big Sandy,LOUISA,KY,41230,23000 HWY 23,Lawrence,38.1707,-82.6176,Natural Gas Power Generation," 284,567 "," 284,278 ", -   , 1 , 132 , 157 
1001396,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001396&ds=E&et=&popup=true,110038917633,AEP,Ceredo Generating Station,HUNTINGTON,WV,25704,1662 WALKER BRANCH ROAD,Wayne,38.3681,-82.5339,Natural Gas Power Generation," 260,713 "," 260,446 ", -   , 949 , 122 , 145 
1001531,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001531&ds=E&et=&popup=true,110000402314,AEP,Clifty Creek,MADISON,IN,47250,1335 CLIFTY HOLLOW ROAD,Jefferson,38.7383,-85.4192,Coal Power Generation," 5,939,493 "," 5,891,905 ", -   , 257 ," 17,407 "," 30,181 "
1007359,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1007359&ds=E&et=&popup=true,110071161760,AEP,Clinch River,CLEVELAND,VA,24225,STATE ROUTE 82,Russell,36.9333,-82.1997,Natural Gas Power Generation," 57,830 "," 57,772 ", -   ," 2,301 ", 27 , 32 
1001191,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001191&ds=E&et=&popup=true,110001631707,AEP,Comanche (8059),LAWTON,OK,73501,6601 SE 60TH ST,Comanche,34.5431,-98.3244,Natural Gas Power Generation," 145,967 "," 145,819 ", -   ,, 68 , 80 
1010575,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1010575&ds=E&et=&popup=true,110040565705,AEP,Dresden Energy Facility,Dresden,OH,43821,9595 McGlade School Road,MUSKINGUM COUNTY,40.09399,-82.02394,Natural Gas Power Generation," 1,666,118 "," 1,664,425 ", -   ," 71,369 ", 772 , 921 
1000487,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000487&ds=E&et=&popup=true,110040606065,AEP,Harry D. Mattison Power Plant,TONTITOWN,AR,72762,3046 West Liberty Avenue,Washington,36.1855,-94.2841,Natural Gas Power Generation," 138,185 "," 138,044 ", -   ,, 65 , 77 
1000967,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000967&ds=E&et=&popup=true,110042086505,AEP,John E Amos,Winfield,WV,25213,1530 Winfield Road,Putnam,38.4731,-81.8233,Coal Power Generation," 7,410,174 "," 7,350,906 ", -   ," 22,814 "," 21,674 "," 37,594 "
1000934,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000934&ds=E&et=&popup=true,110031507322,AEP,Knox Lee Power Plant,LONGVIEW,TX,75603,306 KNOX LEE,Gregg,32.3766,-94.6415,Natural Gas Power Generation," 207,988 "," 207,778 ", -   ,, 96 , 115 
1000853,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000853&ds=E&et=&popup=true,110071161497,AEP,Kyger Creek,CHESHIRE,OH,45620,5758 STATE ROUTE 7 NORTH,Gallia,38.9161,-82.1281,Coal Power Generation," 5,559,378 "," 5,514,835 ", -   ,," 16,294 "," 28,250 "
1001610,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001610&ds=E&et=&popup=true,110070081798,AEP,Lieberman Power Plant,MOORINGSPORT,LA,71060,11730 LA HWY 538,Caddo,32.7047,-93.9597,Natural Gas Power Generation," 86,118 "," 86,031 ", -   , -   , 40 , 47 
1000976,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000976&ds=E&et=&popup=true,110013725077,AEP,Mitchell (WV),CAPTINA,WV,26041,WV STATE ROUTE 2,Marshall,39.8297,-80.8153,Coal Power Generation," 3,727,207 "," 3,697,469 ", -   ," 27,304 "," 10,872 "," 18,867 "
1001052,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001052&ds=E&et=&popup=true,110000585910,AEP,Mountaineer (1301),NEW HAVEN,WV,25265,1347 Graham Station Road,Mason,38.9794,-81.9344,Coal Power Generation," 5,020,785 "," 4,980,640 ", -   ," 18,167 "," 14,680 "," 25,465 "
1000862,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000862&ds=E&et=&popup=true,110070834591,AEP,Northeastern,Oologah,OK,74053,7300 E. Hwy 88,Rogers,36.4317,-95.7008,Coal Power Generation," 3,753,893 "," 3,732,340 ", -   , -   ," 7,990 "," 13,563 "
1000998,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000998&ds=E&et=&popup=true,110071160512,AEP,Riverside (4940),JENKS,OK,74037,116TH ST S AND ARKANSAS RIVER,Tulsa,35.9978,-95.9567,Natural Gas Power Generation," 568,768 "," 568,190 ", -   , -   , 264 , 314 
1001037,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1001037&ds=E&et=&popup=true,110038159578,AEP,Rockport,ROCKPORT,IN,47635,2791 NORTH US ROUTE 231,Spencer,37.9256,-87.0372,Coal Power Generation," 6,434,845 "," 6,384,451 ", -   ," 11,631 "," 18,431 "," 31,964 "
1000863,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000863&ds=E&et=&popup=true,110064088142,AEP,Southwestern,Anadarko,OK,73005,32034 County Street 2605,Caddo,35.1009,-98.3524,Natural Gas Power Generation," 553,078 "," 552,516 ", -   , 565 , 257 , 306 
1000864,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000864&ds=E&et=&popup=true,110001634072,AEP,Tulsa,TULSA,OK,74102,3600 S ELWOOD,Tulsa,36.1125,-95.9917,Natural Gas Power Generation," 192,075 "," 191,880 ", -   ,, 89 , 106 
1005241,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1005241&ds=E&et=&popup=true,110013970621,AEP,Weleetka Power Station,Weleetka,OK,74880,,OKFUSKEE COUNTY,35.3246,-96.136,Natural Gas Power Generation," 3,544 "," 3,540 ", -   ," 3,544 ", 2 , 2 
1000375,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000375&ds=E&et=&popup=true,110071161675,AEP,Welsh Power Plant,PITTSBURG,TX,75686,FM RD 1735,Titus,33.0583,-94.844,Coal Power Generation," 4,713,707 "," 4,676,754 ", -   ,," 13,517 "," 23,436 "
1000936,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2022?id=1000936&ds=E&et=&popup=true,110071161578,AEP,Wilkes Power Plant,AVINGER,TX,75630,HIGHWAY 49,Marion,32.8486,-94.5469,Natural Gas Power Generation," 572,266 "," 571,685 ", -   ,, 265 , 316 
